id,almacen,referencia,cod_barra,producto,categoria,precio_venta,cantidad,proveedor
1,Local 1,7702354956332,7702354956332,acondicionador nutribela  reparacion intensiva x 15 ml,abarrotes,1300,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
2,Local 1,7702174827485,7702174827485,Gomas trolli Crocydrilos 40g,dulceria,1600,2,TECNOVENTAS DISTRIBUCIONES
3,Local 1,7702097032782,7702097032782,la constancia mayonesa x 380 g,abarrotes,10000,12,COLOMBINA DISTRIBUCIONES
4,Local 1,7702097137753,7702097137753,la constancia salsa rosada x 190 g,abarrotes,7300,8,COLOMBINA DISTRIBUCIONES
5,Local 1,7702090064186,7702090064186,manzana postobon x  2.5 litros,bebidas,6000,93,InterPOS
6,Local 1,7702020020510,7702020020510,Mezcla pancakes 100gr,abarrotes,2500,47,DISTRIMARIO SAS
7,Local 1,7702026147594,7702026147594,pequeñin almendra x 24 pañitos,aseo,3500,10,DISTRIMARIO SAS
8,Local 1,7702031503361,7702031503361,Protectores Carefree perfumados x150,aseo,17500,21,ALVARO MUÑOZ
9,Local 1,7709947592205,7709947592205,tisanas angel manzanilla x 15 g,abarrotes,2000,63,COMESTIBLES LABOYANA
10,Local 1,7702191522004,7702191522004,"3d 1,8L bomba de limpieza",CATEGORIA ESTANDAR,18500,20,DISTRICUELLAR DISTRIBUCIONES CUELLAR
11,Local 1,7702191522608,7702191522608,3D 1kg bicarbonato y aloe,CATEGORIA ESTANDAR,9600,10,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
12,Local 1,7702191521960,7702191521960,3d 1L bomba de limpieza,CATEGORIA ESTANDAR,12000,17,DISTRICUELLAR DISTRIBUCIONES CUELLAR
13,Local 1,7702191163528,7702191163528,3D 2L,CATEGORIA ESTANDAR,19900,21,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
14,Local 1,7702191521854,7702191521854,3D 3kg,CATEGORIA ESTANDAR,25000,18,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
15,Local 1,7702191522639,7702191522639,3D 3kg explosion citrica,CATEGORIA ESTANDAR,24500,21,DISTRICUELLAR DISTRIBUCIONES CUELLAR
16,Local 1,7702191522592,7702191522592,3D 500gr,CATEGORIA ESTANDAR,4500,993,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
17,Local 1,7702191522561,7702191522561,3D Bicarbonato 125g,aseo,1500,96,UNIMASIVOS .
18,Local 1,7702191522578,7702191522578,3D bicarbonato 250gr,CATEGORIA ESTANDAR,2900,19,DISTRICUELLAR DISTRIBUCIONES CUELLAR
19,Local 1,7702191521816,7702191521816,3d jabon en polvo aroma explosion de manzana,aseo,4500,28,ALVARO MUÑOZ
20,Local 1,7702191524022,7702191524022,3D Lavanda 2kg,aseo,17200,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
21,Local 1,7702191452066,7702191452066,3d multiuso polvo bicarbonato + aloe vera 1 kg,aseo,8500,10,ALVARO MUÑOZ
22,Local 1,7702191521830,7702191521830,3d multiusos jabon aroma explosion de manzanas,aseo,8400,9,ALVARO MUÑOZ
23,Local 1,7702191521823,7702191521823,3D multiusos manzana x 1 kg,aseo,8500,7,UNIMASIVOS .
24,Local 1,7702191452059,7702191452059,3d polvo bicarbonato aloe vera,aseo,4500,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
25,Local 1,7702622423139,7702622423139,7Cereale original,abarrotes,4000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
26,Local 1,7702622423146,7702622423146,7Cereales Fresa,CATEGORIA ESTANDAR,4000,998,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
27,Local 1,7702622423153,7702622423153,7Cereales Vainilla,CATEGORIA ESTANDAR,4000,103,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
28,Local 1,7702192387503,7702192387503,7up 1L,bebidas,3500,9,InterPOS
29,Local 1,7702192052982,7702192052982,7up postobon x 3.125 l,bebidas,8000,22,InterPOS
30,Local 1,7896312,7896321,@ Azucar,abarrotes,44000,105,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
31,Local 1,7702175108460,7702175108460,ablandacarnes el rey x 70 g,abarrotes,1500,13,DISTRIALDANA .
32,Local 1,304,304,aceite 3 en uno,aseo,3600,10,DISTRIVENTAS DEL HUILA
33,Local 1,7709578345256,7709578345256,Aceite 3b 500cc,CATEGORIA ESTANDAR,2500,5,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
34,Local 1,7709578345133,7709578345133,Aceite 3b 900,abarrotes,7600,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
35,Local 1,7707223669672,7707223669672,aceite capilar de argan x 10 g,aseo,1800,94,DISTRIHOGAR B.B
36,Local 1,7707223664394,7707223664394,aceite capilar de cebolla y romero,aseo,1800,14,DISTRIVENTAS DEL HUILA
37,Local 1,7709154396535,7709154396535,aceite capilar de coco x 10 g,aseo,1800,16,DISTRIHOGAR B.B
38,Local 1,7709990198461,7709990198461,aceite de almedras 12ml,autoservicio servitodo thaliana,1600,11,DISTRIVENTAS DEL HUILA
39,Local 1,7815552369139,7815552369139,Aceite de coco jeferson,aseo,4200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
40,Local 1,7702191349946,7702191349946,aceite de jojoba argan y sabila x510 ml,aseo,18500,12,UNIMASIVOS .
41,Local 1,7135280364221,7135280364221,Aceite de naranja jeferson,aseo,4200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
42,Local 1,7702011261007,7702011261007,Aceite de oliva 250ml,abarrotes,26800,8,COLOMBINA DISTRIBUCIONES
43,Local 1,7707145300073,7707145300073,aceite de ricino 30 cc,medicamentos,2600,8,TECNOVENTAS DISTRIBUCIONES
44,Local 1,7709733403630,7709733403630,Aceite del valle 1000,CATEGORIA ESTANDAR,7300,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
45,Local 1,7709062601646,7709062601646,aceite super soya x 730 ml,abarrotes,8200,12,DISTRICUELLAR DISTRIBUCIONES CUELLAR
46,Local 1,7709578345157,7709578345157,Aceite tresb 3000,CATEGORIA ESTANDAR,23000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
47,Local 1,7709578345201,7709578345201,aceite tresb 500,abarrotes,4400,2001,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
48,Local 1,7707337870100,7707337870100,aceite uno A x 1000,abarrotes,8000,852,DISTRICUELLAR DISTRIBUCIONES CUELLAR
49,Local 1,7709954508343,7709954508343,aceite uno A x 2000,abarrotes,15600,892,DISTRICUELLAR DISTRIBUCIONES CUELLAR
50,Local 1,7709460559129,7709460559129,aceite uno A x 250,abarrotes,2500,73,DISTRICUELLAR DISTRIBUCIONES CUELLAR
51,Local 1,7708921437563,7708921437563,aceite uno A x 3000,abarrotes,21000,54,DISTRICUELLAR DISTRIBUCIONES CUELLAR
