id,nit_cc,proveedor,direccion,ciudad,pais,contacto,correo,cantidad_productos
1,8300068513,ALPINA .,,,,,distrivision@gmail.com,186
2,66936004,ALVARO MUÑOZ,,,,,distribuidora laboyana@gmail.com,120
3,242342342,AREPA MAIZ BLANCO .,,PITAL,,,,0
4,32432543523,AREPA PARA ASAR .,,PITAL,,,,0
5,87963256,BAVARIA DISTRIBUCIONES,,,,,bavariadistribuciones@hotmail.com,48
6,9014210503,BIMBO DISTRIVENTAS DEL SUR,,,,,,88
7,88875442,BONELO HUEVOS,,,,,bonelohuevos@hotmail.com,4
8,9003727703,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA,,,,,carolinasa@gmail.com,737
9,123456789,CIGARRILLOS .,,,,,marlboro@hotmail.com,0
10,8300478199,COCACOLA DISTRIBUCIONES,,,,,cocacola@gmail.com,38
11,122369871,COLOMBINA DISTRIBUCIONES,,,,,colombinadistribuciones@gmail.com,253
12,10697319177,COMESTIBLES LABOYANA,,,,,comestibleslaboyanosdelsur@gmail.com,95
13,8911011581,COOCENTRAL .,,,,,info@coocentral.co,3
14,800639562,DISTRIALDANA .,,,,,distrialdana@gmail.com,80
15,122643065,DISTRICUELLAR DISTRIBUCIONES CUELLAR,,,,,districuellar@gmail.com,389
16,9012538866,DISTRIGRANOS SANJOSE,,,,,distrigranos@gmail.com,1
17,3209652782,DISTRIHOGAR B.B,,,,,betancourthsantiago@hotmail.com,56
18,10814099236,DISTRIMARCA HELADOS,,,,,distrimarcasgarzon@gmail.com,62
19,9012958151,DISTRIMARIO SAS,,,,,distrimariopitalito@yahoo.com,517
20,10778698963,DISTRIVENTAS DEL HUILA,,,,,distriventasdelhuila@gmail.com,69
21,9013865236,FELINI DISTRIBUCIONES,,,,,felinidistribuciones@hotmail.com,15
22,9003889985,GERDY DISTRIBUCIONES,,,,,servicioalcliente@gmail.com,153
23,10838944230,GLOFER DISTRIBUCIONES,,,,,anjiss91@hotmail.com,69
24,8600079550,GRADEZCO LTDA .,,,,,gradezco@gmail.com,24
25,9014000295,GUADALUPE ARDICOLL,,,,,distradicol@hotmail.com,22
26,10778586074,HELADOS MARTICA,,,,,heladosmarticasas@gmail.com,14
27,8795441,HGW COLOMBIA,,,,,,13
28,9013202703,InterPOS,,,,,gaseosaslux@gmail.com,88
29,9010489491,INVERSIONES GUTIERREZ EQCO,,,,,ditosas@gmail.com,10
30,4586935,JHONATAN BOLSAS,,,,,jonathanbolsas@hotmail.com,5
31,8139652,JUANVA CAFE,,,,,juanvacoffe@coffee.com,1
32,136890361,MARGARITA DISTRIBUCIONES CUEVAS,,,,,districuevasm@hotmail.com,52
33,176480201,MD DISTRIBUCIONES,,,,,mustang_pitalito@hotmail.com,79
34,9020468210,METRICAS DISTRIBUCIONES .,,,,,telectronica@metricas.tsn.com,0
35,122035727,MULTIPAN GARZON,,,,,multipangarzon2008@gmail.com,3
36,3543564678523,OTROS GASTOS .,,PITAL,,,,0
37,2321423324,PAN CUAJADO .,,PITAL,,,,0
38,234234234324,PAN TOSTADO .,,PITAL,,,,0
39,8001165320,PANELA NATURAL ISNOS .,,,,,amaurisgomezsalas@hotmail.com,1
40,111111,PARMALAT .,,,,,parmalat@hotmail.com,7
41,74335472,PLASTICO SURCOLOMBIANO,,,,,plasticosurcolombiano@gmail.com,131
42,2214124343,PLATANOS VERDES .,,PITAL,,,,0
43,86001697,POSTOBON .,,,,,postobonltda@gmail.com,11
44,9005320577,PROGRESAR NESTLE,,,,,nestle@gmail.com,81
45,8600038318,RAMO .,,,,,ramoscliente@gmail.com,24
46,4940039,REYMA QUESOS FABRICA,,,,,jose reinel@gmail.com,17
47,9018207899,RIVIERA DISTRIBUCIONES,,,,,comercial@saludlariviera.com,3
48,832659826,SURCOLAC PUREZA,,,,,surcolac@gmail.com,9
49,8000771982,SURTILIMA .,,,,,surtilimagrupo@gmail.com,34
50,9002797856,TECNOVENTAS DISTRIBUCIONES,,,,,tecnoventasdistribuciones@gmail.com,46
51,9005288355,UNIMASIVOS .,,,,,trasmile@gmail.com,99
52,81392808,YUPI DISTRIBUCIONES DONDE MARIO,,,,,mapecristinaauxcontable@gmail.com,0
